"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"SOMUM","","Solidago multiradiata var. multiradiata","","Solidago","","multiradiata","","","","var.","","multiradiata","","","","","Aiton","Aiton","","",""
"SOMUM","SOAN5","Solidago anticostensis","","Solidago","","anticostensis","","","","","","","","","","","Fernald","","","",""
"SOMUS","","Solidago multiradiata var. scopulorum","","Solidago","","multiradiata","","","","var.","","scopulorum","","","","","Aiton","A. Gray","","",""
"SOMUS","SOCI3","Solidago ciliosa","","Solidago","","ciliosa","","","","","","","","","","","Greene","","","",""
"SOMUS","SOMUS2","Solidago multiradiata ssp. scopulorum","","Solidago","","multiradiata","ssp.","","scopulorum","","","","","","","","Aiton","(A. Gray) W.A. Weber","","",""
"SOMUS","SOSC3","Solidago scopulorum","","Solidago","","scopulorum","","","","","","","","","","","(A. Gray) A. Nelson","","","",""
"SOSI3","","Solidago simplex","","Solidago","","simplex","","","","","","","","","","","Kunth","","","",""
"SOSIS","","Solidago simplex ssp. simplex","","Solidago","","simplex","ssp.","","simplex","","","","","","","","Kunth","Kunth","","",""
"SOSIS3","","Solidago simplex ssp. simplex var. simplex","","Solidago","","simplex","ssp.","","simplex","var.","","simplex","","","","","Kunth","Kunth","Kunth","",""
"SOSIS3","SOGL6","Solidago glutinosa","","Solidago","","glutinosa","","","","","","","","","","","Nutt.","","","",""
